match_type,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,umpire1,umpire2,batting_avg,runs,bowling_avg,wickets
League,Arun Jaitley Stadium,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,5.0,164.0,20.0,C Shamshuddin,UV Gandhe,27.8,2780.0,70000.0,0.0
League,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,9.0,160.0,20.0,NJ Llong,Nitin Menon,0.03,1.0,23.25,48.0
League,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,runs,1.0,162.0,20.0,RJ Tucker,VA Kulkarni,20.94,2848.0,0.0,0.0
League,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6.0,192.0,20.0,A Nand Kishore,S Ravi,29.39,2851.0,0.0,0.0
League,MA Chidambaram Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6.0,176.0,20.0,AK Chaudhary,NJ Llong,26.76,3880.0,29.8,92.0
League,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,runs,17.0,203.0,20.0,BNJ Oxenford,C Shamshuddin,30.48,5181.0,0.0,0.0
League,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,176.0,20.0,AY Dandekar,IJ Gould,1.0,50.0,34.7,44.0
League,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,runs,46.0,156.0,20.0,AK Chaudhary,NJ Llong,26.61,5881.0,30.8,15.0
League,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,161.0,20.0,A Nand Kishore,YC Barde,1.82,164.0,30.84,91.0
League,Arun Jaitley Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,runs,16.0,188.0,20.0,BNJ Oxenford,KN Ananthapadmanabhan,30.46,6244.0,18.0,4.0
League,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,runs,34.0,233.0,20.0,IJ Gould,Nitin Menon,21.46,2039.0,24.88,89.0
League,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,runs,45.0,213.0,20.0,CK Nandan,S Ravi,36.31,5883.0,20000.0,0.0
League,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,No winner,no result,-1.0,63.0,5.0,NJ Llong,UV Gandhe,,,,
